UZ_ID,C8474,C6367,C6368,C6369,C6372,C6373,C7442_C,C6374,C7443_C,C7445_C,C7446_C,C7447_C,C7448_C,C7449_C,C7450_C,C7451_C,C7452_C,C6375,C6377_O,C7454_O,C7455,C7456_O,C7457_O,C7458,C7459,C7461,C7462,C7463
C1009S219_1023,99999,"In my work, we rely on some initial use cases and research to get us going with an idea. We often start with generative interviews, but sometimes jump into making an initial concept prototype. This is then tested in a series of concept validation interviews with users and project stakeholders. From this discovery-type phase, the design team iterates on the idea and tests with users and stakeholders several times to fine tune the concept and execution.","For low fi & conversations • collaboration and mock ups on mural • sometimes paper or whiteboards (but not since WFH). • mid & high-fi creation in tools like Sketch and sometimes adobe XD  For research & testing • always on webex as our users are internationally located • For generative research, notes on box. • For concept testing, scenario walk throughs on keynote. • For usability testing, Invision. • For co-creation or collaboration, mural. • For surveys, survey gizmo.","The low amount of researchers on the team and the lack of specialized users is often a limitation. We frequently need to talk to the same people, which limits the kind of diverse feedback required to make a product that meets every type of user’s needs. Additionally, we often only have a couple of people conducting research and designing, so it is a challenge to run all the research and then iterate quickly.","• Accessibility checkers - we sometimes test new designs to make sure contrast and font are accessible using w3.org, though we use a design language that has this already as a consideration. So, this is rare. • Heuristics - we often run Nielsen Norman heuristics on our products.  • Best Practices - Our product design language provides best practice guidelines for creating/using components and incorporating language into experiences.  • Competitive benchmarks - we use NPS scores for our products.  • Statistical tools - we have run statistical analysis using SPSS for deriving sentiment from user NPS scores.",We don’t use any ML/AI based products to my knowledge.,sketch measure,"I think of google sheets charts, which can look at the data and suggest chart visualizations that it thinks might be helpful for whatever task you are trying to accomplish.  I also think of tiktok algorithms that show you appealing content based on your previous behavior, search history, geo location, etc.","I am not sure what a UBM is, and I have not heard of any of these tools.",99999,99999,"IBM Design Language, Carbon.",99999,IBM Equal Access Accessibility Checker,99999,99999,99999,"I mentioned most of the tools I selected in Q9-17 before in the previous section. I don’t know of or use many of the tools listed. The main tools I use are the IBM design language. Occasionally, we will use w3.org if we are testing a new design concept that doesn’t use the design language elements.","Not a part of our current process, but open to trying them if they can mitigate our issues finding qualified users.",Enterprise data storage monitoring products,UX Designer & Researcher,,,1985,5-6,American,USA,Great things to think about!
C1009S219_1032,99999,"It’s very important to be usable, i.e., usability. Also, next is user research to fine user’s pain points.",Double Diamond Process & Adobe XD,When it can be impossible to meet the user’s needs.,"[2] Nielsen’s 10 heuristics [4] It’s nothing special platform or tools which I use frequently [5] It’s nothing special platform or tools which I use frequently [6] SPSS, SAS, R, etc. [8] It’s nothing special platform or tools which I use frequently",None,99999,I think nothing.,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,Professor,,,1974,over 20year,South Korea,South Korea,Thank you.
C1009S219_1035,99999,"Collecting requirements and necessities. If possible, benchmark and compare it to the market.Establishing the MVP.","Medium, Figma, Sketch, Miro, Paper-Prototype",Discrepancy between customers needs and corporate benefits. Historically determined barriers such as the willingness to change the product. Technical obstacles.,,,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,Senior User Experience Designer & Art Director,,,1985,15,german,germany,
C1009S219_1086,99999,"Discover - understand problem based on or by conducting insights Define - analyze findings, frame problem Design - ideate and sketch possible solutions Deliver - create and test possible solutions Iterate","Design: pen & paper, miro, figma Research: lookback, userzoom, baymard insitute Documentation: confluence, jira",limited time - based on predefined project milestones and deadlines budget - based on fixed or limited budgets that are agreed in advance for specific topics,"[1] WCAG Checklist, Plugins for Figma (Stark) [2] Nielsen’s 10 heuristics, Laws of UX [4] Baymard Insitute, Nielsen, smashing magazine, medium, uxpin, invision blog [5] often included in UX Audit, combined with expert review (Keynote, google sheet), give first reommendations via prio matrix impact/effort [8] lookback, userzoom [9] hotjar",,"Stark, Color contrast checker, find and replace",,99999,99999,99999,99999,99999,99999,99999,99999,99999,"material.io as a benchmark for design language, best practice for organizing design patterns and creating a consistent experience, communicating and documenting guidelines - in the design/realization of products, creating pattern libraries, defining design systems",99999,99999,Senior UX Designer,digital commerce/service industry,,1986,8,german,Germany,
C1009S219_1107,99999,"1. What do we need to communicate (a design artifact is just a means of communication) -> focus on this. This might be an implementation detail, a design solution you want to validate with users, an idea you want to discuss 2. What‘s the best format to commuicate (is it a wireframe to communicate layout? Is is a bullet point list to communicate structure) 4. Create the artifact and always go back to your intention (1) to check if you are still doing the right thing 5. Do the communication (meeting, write the story, do a user test) 6. How to evaluate this? Listen carefully. Are there questions? Is something not clear?  A good example from the literature is Cooper‘s goal directed design process which focuses on one perspective at the time (personas, goals, scenarios, structure ...)","Onenote Figma Confluence Any Text Editor Your mouth, ears, pen and paper","Who is the user of an artifact? This is typically the person who needs the information, which could be a user in a test session or another designer or a developer (see Q1). So there are the typical obstacles of communication. I think the most important one is a bad format that does not stress the important things (e.g. a wireframe without annotations and without arrows pointing our the important things to talk about has certain noise when talking about it).",,,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,UX/UI Engineer,,,1989,6,,,
C1009S219_1158,99999,"- stakeholders or our CX/UX team identifies a need for improvement - understanding the problem - requirements will be derived, business values estimated - first ideation with stakeholders - first UX concept made by the CX team - feedback from stakeholders will be gathered by 30/60/90 percent of concept work in progress - at 60 percent user tests will be conducted - iteration for improvements - at 90 percent the concept will be refined from a technical point of view from the dev-team - final UI will done","- jira for story management (Kanban) - Mural for ideation session (remote) - Sketch concept design - prototyping proto.io or sketch - user testing moderated (userzoom; testing time for recruitement or own customers), unmoderated rapidusertest","During recruitment of test users it is challenging to find users with mindsets that best match with our own customers, even if screener questions are well designed. Creating a realistic feeling of the given scenario Qualitative evaluations could not meet every expectation and provide detailed results regarding conversion improvements.","[5] mystery shopping [4] Moodboards [8] userzoom, rapidusertest, usertesting [9] Hotjar [6] BI Tool sisense",,Sketch Cloud for collaborative work,,99999,99999,99999,99999,99999,99999,99999,99999,99999,A/B Testing and for QA check of the implemented test version,99999,99999,Senior Customer Experience Researcher,,,1986,11,German,Germany,
C1009S219_1162,99999,"The process starts with user research, to understand the target group and also their expectations. Then we build a mock-up in Figma or Powerpoint presentation if they need something quick and dirty. When building the mock-up we have multiple discussions with the team and partners to improve the UX/UI aspect, and at the end giving the final version to the frontend developers.",1. Skype/Zoom - interacting with potential end-users and conducting discussions  2. Figma or Powerpoint presentation - building mockups,"1. When performing user research I only have access to limited users, who are usually professionals with a certain degree of expertise that too within the firm, the lack of access to general users outside makes it challenging to design for everyone  2. Due to tight deadlines it becomes difficult to devote sufficient time to reach out to more diverse user profiles","[2] Nielsen’s 10 heuristics, Google Material Design, OS X Human Interface Guidelines",Don’t use any machine learning tool,Material Design Icons  Chart Charts Datavizer,,99999,99999,99999,99999,99999,99999,99999,99999,99999,"W3C validator: After the frontend is developed it is used to check if the code follows the formatting standards material.io: Usually used when developing mockups to make sure apart from company guidelines, the interface follows universal guidelines too.",99999,99999,Frontend developer,,,1997,I am working as a part-timer at the current position for about 21 months.,Indian,Germany,
C1009S219_1171,99999,"1. Collect customer feedback and try to make out a common pattern that would solve it on a higher level 2. some research how others have solved similar problems and trying to make out sensible patterns 3. some sketches in my notebook (or in the iPad) to quickly compare possible solutions 4. start building some of these solutions and variants in Figma, asking for internal feedback pretty early on in the process","other platforms in general, pen&paper, notes on iPad, Figma","- Not enough time alotted for user research by the executives! If leadership expects a new feature in 4 weeks from ideation to shipping, it’s hard to do meaningful user research. - user feedback not gathered in one place, but in multiple channels: linkedin-messages, support emails, emails to sales contacts that never reach Product, ...","[1] Contrast (macOS app) [2] Nielsen’s 10 heuristics [3] ISO 9241 [4] Double Diamond [6] Hotjar, Google Analytics, Matomo",,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,UI/UX-Designer,,,1993,5,German,Germany,
C1009S219_1176,99999,"Creating:  - Find out the problem / goal which needs to be solved - In a perfect world: Think about the solution within a team (Product Owner, Software Developers, Stakeholder and if possible Target Group) - Check what current data is available in analytics or elsewhere - Generate Ideas - If stuck, check competitors or similar platforms what’s existing or maybe for more design inspiration Dribble  Evaluating:  - Create a prototype or screen, show it to people or test it on a crowd testing plattform",- Google Analytics - Sketch & / or Figma - RapidUsertests - UsabilityHub - Dribbble,"- Connect to the specific target group - Recreate a realistic ""world"" where users act how they would act - Create prototypes as realistic as possible (working inputs, error messages, responsiveness...) - Catching unbiased testers","[2] Baymard, Laws of UX, UX Stackexchange [4] Baymard, Stackexchange [5] Baymard [8] RapidUsertest, Usability Hub [9] Google Analytics, Hotjar",I guess Google Analytics is the only,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,,"Different focus, it’s done by devs not my self and sometimes never heard of those",99999,UX & UI Freelancer,,,1993,"5 in Design (10 in building digital products, perviously a software developer)",German,Sweden,
C1009S219_1196,99999,"I use an iterative process where I funnel my results into a final design. So, I may start a project by roughly drafting up 5 possible design options and then consolidating/iterating on these 5 options until I have the final design which fits closest on the intersection of solving the problem at hand and satisfying all stakeholders involved. Also, if the project involves multiple teams, i will also communicate with those teams and regularly share progress.",- Sketching w/ pen and paper - Sketching on iPad - Figma for wireframes and prototyping - Photoshop or Illustrator for creating custom assets,"The biggest obstacle would be access to actual users. Our users are a fairly specific, so I cannot just ask anyone to test the majority of our designs. The busy schedules of our users also conflict with the agile system in which my team tries to operate so it is rarely feasible that we have the time to sync up with users.","[2] Nielsen Norman 10 heuristics, iOS /Android UI guidelines [4] Dribbble, Laws of UX, UX Planet, etc.",I don’t believe I use any tools that utilize machine learning or AI to help in my design process.,99999,Google would be the main one that comes to mind.,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,Product Designer,,,1988,3,American,United States,
