UZ_ID,DataSegment,Study_Time,StartDate,EndDate,SEGMENT,OS,BROWSER,SCREEN,BROWSER_RESOLUTION,C6370_0,C6370_1,C6370_2,C6370_3,C6370_4,C6370_5,C6370_6,C6370_7,C6370_8,C6370_1110,C7442_0_0,C7442_0_1,C7442_1_0,C7442_1_1,C7442_2_0,C7442_2_1,C7442_3_0,C7442_3_1,C7442_4_0,C7442_4_1,C7442_5_0,C7442_5_1,C7442_6_0,C7442_6_1,C7442_7_0,C7442_7_1,C7442_8_0,C7442_8_1,C7442_9_0,C7442_9_1,C7442_10_0,C7442_10_1,C7443_0_0,C7443_0_1,C7443_1_0,C7443_1_1,C7443_2_0,C7443_2_1,C7443_3_0,C7443_3_1,C7443_4_0,C7443_4_1,C7443_5_0,C7443_5_1,C7445_0_0,C7445_0_1,C7445_1_0,C7445_1_1,C7445_2_0,C7445_2_1,C7445_3_0,C7445_3_1,C7446_0_0,C7446_0_1,C7446_1_0,C7446_1_1,C7446_2_0,C7446_2_1,C7446_3_0,C7446_3_1,C7446_4_0,C7446_4_1,C7446_5_0,C7446_5_1,C7447_0_0,C7447_0_1,C7447_1_0,C7447_1_1,C7447_2_0,C7447_2_1,C7448_0_0,C7448_0_1,C7448_1_0,C7448_1_1,C7448_2_0,C7448_2_1,C7449_0_0,C7449_0_1,C7449_1_0,C7449_1_1,C7449_2_0,C7449_2_1,C7449_3_0,C7449_3_1,C7449_4_0,C7449_4_1,C7450_0_0,C7450_0_1,C7450_1_0,C7450_1_1,C7450_2_0,C7450_2_1,C7450_3_0,C7450_3_1,C7450_4_0,C7450_4_1,C7450_5_0,C7450_5_1,C7450_6_0,C7450_6_1,C7450_7_0,C7450_7_1,C7451_0_0,C7451_0_1,C7451_1_0,C7451_1_1,C7451_2_0,C7451_2_1,C7451_3_0,C7451_3_1,C7451_4_0,C7451_4_1,C7451_5_0,C7451_5_1,C7452_0_0,C7452_0_1,C7452_1_0,C7452_1_1,C7452_2_0,C7452_2_1,C7452_3_0,C7452_3_1,C7452_4_0,C7452_4_1,C7452_5_0,C7452_5_1,C6377_0,C6377_1,C6377_2,C6377_3,C6377_4,C6377_5,C6377_6,C6377_7,C6377_999,C7454_0,C7454_1,C7454_2,C7454_3,C7454_4,C7454_999,C7456,C7457,C7460
C1009S219_1023,0,6155,2021/04/13 15:35:57,2021/04/13 17:18:32,0,4,6,5,5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,99999,99999,99999,99999,99999,99999,1,1,1,0,0,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,0,8
C1009S219_1032,0,2305,2021/05/10 07:09:28,2021/05/10 07:47:53,0,20,103,7,8,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,1,0,0,0,0,0,1,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,23,0,10
C1009S219_1035,0,1688,2021/05/10 13:58:23,2021/05/10 14:26:31,0,4,7,51,9,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,99999,99999,99999,99999,99999,99999,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,29,1,7
C1009S219_1086,0,3710,2021/05/11 19:43:42,2021/05/11 20:45:32,0,4,6,26,16,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,999,0,7
C1009S219_1107,0,1228,2021/05/12 10:07:23,2021/05/12 10:27:51,0,4,7,52,10,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,18,2,8
C1009S219_1158,0,6014,2021/05/23 17:26:58,2021/05/23 19:07:12,0,4,7,4,18,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,22,0,10
C1009S219_1162,0,53613,2021/05/24 00:57:14,2021/05/24 15:50:47,0,4,6,1,19,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,99999,99999,99999,99999,99999,99999,1,1,0,0,0,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,7
C1009S219_1171,0,1298,2021/05/26 07:49:19,2021/05/26 08:10:57,0,4,7,26,21,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,99999,99999,99999,99999,99999,99999,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,1,8
C1009S219_1176,0,336664,2021/05/26 14:24:11,2021/05/30 11:55:15,0,4,7,57,23,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,1,1,0,0,0,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,29,1,5
C1009S219_1196,0,1946,2021/05/28 22:46:35,2021/05/28 23:19:01,0,4,6,7,8,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,1,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,1,7
